ticket,side,entry_time,entry_price,sl,tp,lot,entry_atr,exit_time,exit_price,exit_reason,pnl,pnl_pips,bars_held
1,BUY,2025-09-30 17:05:00,3846.366,3846.67146,3849.7811333333334,0.01,3.4151333333332636,2025-09-30 17:15:00,3846.67146,SL,0.30546000000003914,30.546000000003914,1
2,SELL,2025-09-30 17:40:00,3845.973,3843.919872533723,3842.926758220923,0.01,3.046241779076689,2025-09-30 17:45:00,3842.926758220923,TP,3.0462417790768086,304.62417790768086,0
3,BUY,2025-09-30 18:20:00,3844.083,3845.247387784622,3846.83837405126,0.01,2.755374051259947,2025-09-30 18:25:00,3845.247387784622,SL,1.1643877846217947,116.43877846217947,0
4,SELL,2025-09-30 20:05:00,3852.049,3853.866558775579,3849.019735374035,0.01,3.029264625965126,2025-09-30 20:15:00,3853.866558775579,SL,-1.817558775579073,-181.7558775579073,1
5,BUY,2025-09-30 20:25:00,3855.31,3856.915790607513,3857.9473646416236,0.01,2.6373646416235244,2025-09-30 20:35:00,3857.9473646416236,TP,2.6373646416236625,263.73646416236625,1
6,SELL,2025-09-30 22:25:00,3854.64,3856.205904000523,3852.0301599991285,0.01,2.609840000871449,2025-09-30 22:30:00,3856.205904000523,SL,-1.5659040005230056,-156.59040005230054,0
7,BUY,2025-09-30 22:40:00,3859.187,3859.1890323127186,3861.753558957604,0.01,2.5665589576043675,2025-09-30 22:45:00,3859.1890323127186,SL,0.0020323127187111822,0.20323127187111822,0
8,SELL,2025-10-01 00:25:00,3861.296,3860.6653825703293,3859.621391432236,0.01,1.6746085677635634,2025-10-01 00:30:00,3859.621391432236,TP,1.6746085677636986,167.46085677636984,0
9,BUY,2025-10-01 00:45:00,3863.691,3862.435651741583,3865.783247097361,0.01,2.092247097360883,2025-10-01 00:50:00,3862.435651741583,SL,-1.2553482584166886,-125.53482584166886,0
10,SELL,2025-10-01 00:50:00,3862.211,3861.2063042453137,3860.1699858489537,0.01,2.041014151046049,2025-10-01 00:55:00,3861.2063042453137,SL,1.004695754686054,100.4695754686054,0
11,BUY,2025-10-01 01:15:00,3863.791,3864.1810747325694,3866.2540842247695,0.01,2.463084224769475,2025-10-01 01:25:00,3864.1810747325694,SL,0.3900747325692464,39.00747325692464,1
12,SELL,2025-10-01 02:20:00,3865.291,3867.4087580102273,3861.761403316288,0.01,3.529596683712095,2025-10-01 02:25:00,3867.4087580102273,SL,-2.117758010227135,-211.7758010227135,0
13,BUY,2025-10-01 03:25:00,3863.68,3861.7951106619703,3866.8214822300492,0.01,3.141482230049362,2025-10-01 03:30:00,3861.7951106619703,SL,-1.8848893380295522,-188.48893380295522,0
14,SELL,2025-10-01 03:30:00,3860.284,3862.2860507596256,3856.947248733957,0.01,3.336751266042749,2025-10-01 03:35:00,3856.947248733957,TP,3.336751266042939,333.67512660429384,0
15,BUY,2025-10-01 03:40:00,3863.889,3861.6677600961034,3867.5910665064944,0.01,3.702066506494284,2025-10-01 03:50:00,3861.6677600961034,SL,-2.2212399038967305,-222.12399038967305,1
16,SELL,2025-10-01 03:55:00,3862.027,3863.8983710426255,3858.908048262291,0.01,3.1189517377090916,2025-10-01 04:00:00,3863.8983710426255,SL,-1.8713710426254693,-187.13710426254693,0
17,BUY,2025-10-01 04:00:00,3862.903,3861.058425096391,3865.9772915060144,0.01,3.07429150601456,2025-10-01 04:05:00,3861.058425096391,SL,-1.8445749036086454,-184.45749036086454,0
